mun_code,mun_name,district_code,year,gross_income_pc,wage,pension,unemp_benefit,other_benefits,other_income
02022,Casas de Lázaro,0202201,2019,12994,5879,4185,435,998,1497
02022,Casas de Lázaro,0202201,2018,12670,5569,4138,402,867,1694
02022,Casas de Lázaro,0202201,2017,12231,5491,3796,276,866,1802
02022,Casas de Lázaro,0202201,2016,11484,4959,3777,260,826,1662
02022,Casas de Lázaro,0202201,2015,10873,4408,3554,508,850,1553
02023,Casas de Ves,0202301,2022,13705,5864,4907,311,596,2027
02023,Casas de Ves,0202301,2021,13132,5227,4776,395,564,2170
02023,Casas de Ves,0202301,2020,12299,4776,4691,559,476,1797
02023,Casas de Ves,0202301,2019,12113,4882,4385,371,474,2001
02023,Casas de Ves,0202301,2018,11903,4845,4164,307,446,2141
02023,Casas de Ves,0202301,2017,10156,4421,3965,242,433,1094
02023,Casas de Ves,0202301,2016,9714,4062,3762,251,435,1203
02023,Casas de Ves,0202301,2015,9477,3679,3853,258,426,1260
02024,Casas-Ibáñez,0202401,2022,12762,7431,2619,346,560,1804
02024,Casas-Ibáñez,0202401,2021,12277,7021,2438,495,499,1825
02024,Casas-Ibáñez,0202401,2020,11315,6400,2345,658,423,1490
02024,Casas-Ibáñez,0202401,2019,11305,6397,2321,317,402,1868
02024,Casas-Ibáñez,0202401,2018,10774,6008,2265,340,393,1769
02024,Casas-Ibáñez,0202401,2017,9989,5690,2208,351,359,1381
02024,Casas-Ibáñez,0202401,2016,9673,5341,2147,345,318,1522
02024,Casas-Ibáñez,0202401,2015,9441,5156,2139,361,308,1477
02024,Casas-Ibáñez,0202402,2022,12809,6874,3507,341,401,1686
02024,Casas-Ibáñez,0202402,2021,11810,6267,3063,411,394,1676
02024,Casas-Ibáñez,0202402,2020,11104,5684,2873,619,417,1510
02024,Casas-Ibáñez,0202402,2019,11298,6106,2812,379,324,1677
02024,Casas-Ibáñez,0202402,2018,10561,5651,2579,326,306,1699
02024,Casas-Ibáñez,0202402,2017,9939,5516,2609,330,224,1260
02024,Casas-Ibáñez,0202402,2016,9414,5041,2464,382,224,1302
02024,Casas-Ibáñez,0202402,2015,9206,4906,2398,349,263,1289
02025,Caudete,0202501,2022,12397,7775,2689,358,663,911
02025,Caudete,0202501,2021,11708,7240,2573,453,605,838
02025,Caudete,0202501,2020,11233,6894,2469,612,529,729
02025,Caudete,0202501,2019,10981,6994,2359,321,490,818
02025,Caudete,0202501,2018,10484,6594,2248,312,458,872
02025,Caudete,0202501,2017,9871,6202,2211,312,399,748
02025,Caudete,0202501,2016,9443,5821,2139,330,370,783
02025,Caudete,0202501,2015,9017,5444,2106,335,386,748
02026,Cenizate,0202601,2022,10685,6709,2156,445,499,875
02026,Cenizate,0202601,2021,9946,6011,2068,422,450,995
02026,Cenizate,0202601,2020,9216,5373,1949,542,493,859
02026,Cenizate,0202601,2019,9093,5307,1913,385,466,1022
02026,Cenizate,0202601,2018,8105,4732,1932,342,440,659
02026,Cenizate,0202601,2017,7369,4302,1888,359,369,452
02026,Cenizate,0202601,2016,7073,3851,1802,329,303,789
02026,Cenizate,0202601,2015,6986,3597,1941,334,354,759
02027,Corral-Rubio,0202701,2022,14522,7111,4168,257,752,2234
02027,Corral-Rubio,0202701,2021,13385,6508,3831,453,719,1874
02027,Corral-Rubio,0202701,2020,12646,6041,3522,574,785,1724
02027,Corral-Rubio,0202701,2019,12505,6575,3300,232,666,1732
02027,Corral-Rubio,0202701,2018,12035,6411,3240,289,605,1490
02027,Corral-Rubio,0202701,2017,11398,6029,3152,245,592,1380
02027,Corral-Rubio,0202701,2016,11439,5955,3094,185,613,1592
02027,Corral-Rubio,0202701,2015,10934,5607,3161,296,643,1228
02028,Cotillas,0202801,2022,12077,4974,4928,525,820,829
02028,Cotillas,0202801,2021,11631,4265,4163,676,704,1822
02028,Cotillas,0202801,2020,10707,4374,3697,835,869,932
02028,Cotillas,0202801,2019,10908,4534,4041,504,1009,820
02028,Cotillas,0202801,2018,9513,4351,2805,610,961,786
02028,Cotillas,0202801,2017,9203,3616,2860,457,951,1319
02028,Cotillas,0202801,2016,8870,3063,3054,539,922,1292
02028,Cotillas,0202801,2015,8611,3077,3065,671,935,863
02029,Chinchilla de Monte-Aragón,0202901,2022,14184,10325,1733,403,560,1164
02029,Chinchilla de Monte-Aragón,0202901,2021,13581,9823,1593,509,527,1129
02029,Chinchilla de Monte-Aragón,0202901,2020,12713,9013,1469,745,441,1046
02029,Chinchilla de Monte-Aragón,0202901,2019,12254,8990,1452,344,471,997
02029,Chinchilla de Monte-Aragón,0202901,2018,11608,8435,1367,407,417,983
02029,Chinchilla de Monte-Aragón,0202901,2017,11043,8017,1408,404,324,890
02029,Chinchilla de Monte-Aragón,0202901,2016,10543,7640,1338,401,378,786
02029,Chinchilla de Monte-Aragón,0202901,2015,10235,7291,1340,435,341,828
02029,Chinchilla de Monte-Aragón,0202902,2022,14762,9889,2657,362,596,1258
02029,Chinchilla de Monte-Aragón,0202902,2021,14449,9412,2567,512,548,1411
02029,Chinchilla de Monte-Aragón,0202902,2020,13212,8284,2619,700,477,1132
02029,Chinchilla de Monte-Aragón,0202902,2019,12940,8156,2742,394,482,1165
02029,Chinchilla de Monte-Aragón,0202902,2018,12065,7569,2518,358,466,1154
02029,Chinchilla de Monte-Aragón,0202902,2017,11754,7454,2472,345,385,1098
02029,Chinchilla de Monte-Aragón,0202902,2016,11228,6877,2345,394,340,1272
02029,Chinchilla de Monte-Aragón,0202902,2015,10395,6359,2315,398,343,981
02030,Elche de la Sierra,0203001,2022,11849,6907,2749,514,747,932
02030,Elche de la Sierra,0203001,2021,10641,6043,2475,739,640,744
02030,Elche de la Sierra,0203001,2020,10263,5557,2550,691,711,754
02030,Elche de la Sierra,0203001,2019,10213,5729,2524,491,673,797
02030,Elche de la Sierra,0203001,2018,9377,5067,2412,504,628,765
02030,Elche de la Sierra,0203001,2017,9033,4798,2422,477,598,738
02030,Elche de la Sierra,0203001,2016,8622,4409,2411,494,548,760
02030,Elche de la Sierra,0203001,2015,8375,4125,2388,529,530,802
02030,Elche de la Sierra,0203002,2022,12982,7085,3291,552,621,1432
02030,Elche de la Sierra,0203002,2021,12123,6465,3134,830,547,1147
02030,Elche de la Sierra,0203002,2020,11652,6380,2939,744,565,1024
02030,Elche de la Sierra,0203002,2019,11092,5966,2867,494,579,1186
02030,Elche de la Sierra,0203002,2018,10300,5425,2783,467,529,1096
02030,Elche de la Sierra,0203002,2017,9813,5239,2574,434,530,1036
02030,Elche de la Sierra,0203002,2016,9426,4859,2579,471,480,1036
02030,Elche de la Sierra,0203002,2015,9198,4607,2542,491,478,1079
02031,Férez,0203101,2022,12331,5610,4052,463,889,1317
02031,Férez,0203101,2021,11611,5186,3697,531,773,1423
02031,Férez,0203101,2020,10697,4523,3746,624,655,1148
02031,Férez,0203101,2019,10500,4557,3503,566,631,1244
02031,Férez,0203101,2018,10312,4248,3531,450,778,1306
02031,Férez,0203101,2017,9105,3890,3360,404,563,888
02031,Férez,0203101,2016,8772,3372,3253,440,574,1133
02031,Férez,0203101,2015,8160,2982,3094,509,522,1053
02032,Fuensanta,0203201,2022,13864,7525,3975,331,682,1350
02032,Fuensanta,0203201,2021,13317,7050,3972,376,703,1217
02032,Fuensanta,0203201,2020,12231,5863,4056,414,737,1160
