mun_code,mun_name,district_code,year,mean_age,pct_under18,pct_over65,mean_hh_size,pct_single_hh,population,pct_spanish
02011,Ayna,0201101,2016,56.3,5.2,41.9,1.9,46,670,97.6
02011,Ayna,0201101,2015,56.1,5.5,41.9,2,44.9,690,97.8
02012,Balazote,0201201,2022,42.6,16.2,17.8,2.5,29.8,2385,90.9
02012,Balazote,0201201,2021,42.2,16.4,17.6,2.5,28.7,2373,90.8
02012,Balazote,0201201,2020,42.4,16.2,18.3,2.5,29.2,2336,91.8
02012,Balazote,0201201,2019,42.4,16.5,18.6,2.5,28.2,2316,93.1
02012,Balazote,0201201,2018,41.9,17.1,18.6,2.5,28,2322,93.2
02012,Balazote,0201201,2017,41.4,17.6,18.4,2.5,29.2,2359,94
02012,Balazote,0201201,2016,41.6,17.8,19,2.5,28.4,2329,94.5
02012,Balazote,0201201,2015,41.4,17.7,19,2.5,29.1,2342,93.6
02013,Balsa de Ves,0201301,2022,57.2,5.2,37.5,1.7,54.4,136,91.9
02013,Balsa de Ves,0201301,2021,56.6,6.4,38.1,1.8,54.2,126,92.1
02013,Balsa de Ves,0201301,2020,55.4,8.5,36.9,1.8,55.6,130,90.7
02013,Balsa de Ves,0201301,2019,56.1,8.3,40.2,1.8,48.5,132,90.8
02013,Balsa de Ves,0201301,2018,56.8,7,41.6,1.8,48.2,158,89.9
02013,Balsa de Ves,0201301,2017,55,11.9,41.8,1.8,48.6,151,85.3
02013,Balsa de Ves,0201301,2016,56.3,8.8,41.9,1.8,48.1,137,87.5
02013,Balsa de Ves,0201301,2015,56.1,9,41.9,1.8,47.9,155,85.2
02014,"Ballestero, El",0201401,2022,50.6,12.8,33.1,2.1,37.6,414,93.7
02014,"Ballestero, El",0201401,2021,48.8,13.8,30.4,2.2,36.4,427,92
02014,"Ballestero, El",0201401,2020,49.1,12.6,30.6,2.1,37,412,93
02014,"Ballestero, El",0201401,2019,49.9,11.6,31.2,2.1,38.1,398,97.7
02014,"Ballestero, El",0201401,2018,49.3,11.8,31,2.1,36.5,407,97.8
02014,"Ballestero, El",0201401,2017,49.1,11.2,29.8,2.1,37.2,409,97.3
02014,"Ballestero, El",0201401,2016,48,12.3,27.3,2.1,35.8,414,97.1
