mun_code,mun_name,year,mean_age,pct_under18,pct_over65,mean_hh_size,pct_single_hh,population,pct_spanish
02034,Fuentealbilla,2019,45.3,14.9,23.7,2.5,31.3,1814,84.8
02034,Fuentealbilla,2018,45.1,15.7,23.8,2.5,31.1,1772,86.1
02034,Fuentealbilla,2017,44.5,15.6,23.1,2.5,30.5,1822,86.9
02034,Fuentealbilla,2016,44.1,16,21.9,2.6,29.3,1859,87.3
02034,Fuentealbilla,2015,44,15.9,22.5,2.6,30,1883,86.8
02035,"Gineta, La",2022,41.6,19.4,17.1,2.5,27.9,2587,92.7
02035,"Gineta, La",2021,41.4,19.4,17,2.5,27.5,2547,92.6
02035,"Gineta, La",2020,41.3,19.1,16.7,2.6,27,2520,92.3
02035,"Gineta, La",2019,41.3,18.6,17.3,2.6,26.7,2505,92.2
02035,"Gineta, La",2018,41.1,18.8,16.8,2.5,27.5,2496,93.7
02035,"Gineta, La",2017,41.2,18.1,16.7,2.5,27,2417,94.4
02035,"Gineta, La",2016,41.2,17.6,16.4,2.5,26.6,2429,94.7
02035,"Gineta, La",2015,40.8,17.2,15.9,2.5,26.9,2477,95
02036,Golosalvo,2022,58.3,6.5,43.5,1.9,44.9,92,98.9
02036,Golosalvo,2021,58,6.1,42.9,2,37.5,98,99
02036,Golosalvo,2020,58.2,5.1,42.4,2.1,29.8,99,99
02036,Golosalvo,2019,NA,NA,NA,NA,NA,NA,NA
02036,Golosalvo,2018,56.5,6.7,40.4,2.1,30.6,128,98.1
02036,Golosalvo,2017,56.3,7.3,40,2.1,30.8,129,94.6
02036,Golosalvo,2016,55.8,7.3,34.5,2.1,28.8,129,93.6
02036,Golosalvo,2015,55.2,7.2,33.3,2.1,30.8,128,92.8
02037,Hellín,2022,42.2,17.4,17.4,2.6,29.1,30240,90
02037,Hellín,2021,42,17.5,17.1,2.6,28.8,30193,90.6
02037,Hellín,2020,41.8,17.8,17,2.6,28.3,30179,91
02037,Hellín,2019,41.7,18.1,17,2.6,28.7,30012,91.9
02037,Hellín,2018,41.4,18.4,16.9,2.6,28.5,30108,92
02037,Hellín,2017,41.1,18.8,16.8,2.6,28,30113,92.7
02037,Hellín,2016,40.8,19.2,16.8,2.7,27,30005,93.5
02037,Hellín,2015,40.5,19.5,16.6,2.7,26.5,30096,92.9
02038,"Herrera, La",2022,47.8,12.1,23.3,2.2,41.3,314,82.5
02038,"Herrera, La",2021,47.3,13.6,23.2,2.2,33.1,310,85.9
02038,"Herrera, La",2020,48.1,12.1,23.8,2.3,31.9,315,84.2
02038,"Herrera, La",2019,47.4,11.7,23.1,2.3,31.9,325,85.1
02038,"Herrera, La",2018,47.1,11,23.3,2.4,29.6,335,86.5
02038,"Herrera, La",2017,48.3,9.4,26.5,2.3,27.6,339,84.5
02038,"Herrera, La",2016,48.3,8.7,27,2.4,29.2,344,87.1
02038,"Herrera, La",2015,48.3,8.8,26.9,2.4,29.1,342,88.8
02039,Higueruela,2022,48.6,12.4,28,2.5,29,1150,94.6
02039,Higueruela,2021,48.1,13.2,27.2,2.5,28.7,1127,94.8
02039,Higueruela,2020,48.3,13.1,28,2.5,27.8,1144,95.1
02039,Higueruela,2019,48.2,14.3,29,2.5,30.8,1135,95.3
02039,Higueruela,2018,47.4,14.7,28.3,2.5,30.3,1160,95
02039,Higueruela,2017,46.9,15.4,27.5,2.5,30.4,1183,96.2
02039,Higueruela,2016,46.5,15.3,27,2.6,28.2,1199,96.6
02039,Higueruela,2015,46.3,15.4,26.3,2.6,27.8,1224,96.2
02040,Hoya-Gonzalo,2022,50.1,10.4,30.2,2.7,27.6,613,95.3
02040,Hoya-Gonzalo,2021,50.7,10,31.6,2.5,30.2,563,96.6
02040,Hoya-Gonzalo,2020,49.8,9.6,29.2,2.6,27.7,592,95.7
02040,Hoya-Gonzalo,2019,49,11.9,28.1,2.7,24.5,622,95.9
02040,Hoya-Gonzalo,2018,49.6,11.1,30,2.8,23.9,650,96.5
02040,Hoya-Gonzalo,2017,48.9,12.1,29.3,2.8,25.7,622,97.3
02040,Hoya-Gonzalo,2016,48.2,12.7,28.9,2.8,26.1,644,96.9
02040,Hoya-Gonzalo,2015,47.5,12.9,28.5,2.9,26.1,667,97.5
02041,Jorquera,2022,55.5,6.1,36.5,1.9,52.2,345,95.9
02041,Jorquera,2021,55.4,7.7,36.4,1.8,53.6,349,96.9
02041,Jorquera,2020,54.7,9.1,36.8,1.9,52.6,364,95.6
02041,Jorquera,2019,55.3,8.5,38.3,1.8,48,342,98.3
02041,Jorquera,2018,55,8.7,38.8,1.8,47.6,356,99.3
02041,Jorquera,2017,55,8.6,39.1,1.8,47.9,361,99.4
02041,Jorquera,2016,54.3,9.2,38.8,1.9,46.6,379,99.2
02041,Jorquera,2015,54.5,8.5,39.4,1.9,46.7,378,99.4
02042,Letur,2022,50.4,8.6,28.2,2.1,42.7,928,96.1
02042,Letur,2021,51,7.3,29.3,2.1,42.5,901,97
02042,Letur,2020,51,7.6,29.1,2.1,40.8,910,96.8
02042,Letur,2019,51.2,8.3,29.7,2.1,42.4,893,97.4
02042,Letur,2018,50.7,9.2,29.3,2.1,41.6,916,97.8
02042,Letur,2017,50.3,10.3,29,2.2,40.7,926,98.6
02042,Letur,2016,49.8,11.6,28.6,2.2,39.7,948,98.7
02042,Letur,2015,50,10.8,28.9,2.2,38.3,968,98.7
02043,Lezuza,2022,50.8,9.1,28.6,2.3,36.1,1302,95
02043,Lezuza,2021,50.4,9.9,28.1,2.3,34.7,1308,95.3
02043,Lezuza,2020,50,9.5,27.4,2.3,35.8,1323,94.6
02043,Lezuza,2019,50.1,9.7,28.8,2.3,35.1,1335,95
02043,Lezuza,2018,49.5,10.3,28.6,2.3,35.3,1359,95
02043,Lezuza,2017,49.3,10.8,29.2,2.4,34,1404,95.4
02043,Lezuza,2016,48.8,11.1,28.8,2.4,31.7,1417,95.6
02043,Lezuza,2015,48.2,12.1,28.4,2.4,30.5,1466,96.2
02044,Liétor,2022,52.2,8.7,31.7,2.1,41.7,1077,98.7
02044,Liétor,2021,52.5,8.1,31.4,2.1,40.4,1102,98.7
02044,Liétor,2020,51.9,8.7,31.3,2.1,39.8,1124,98.8
02044,Liétor,2019,51.7,10.2,31.9,2.1,39.8,1148,98.7
02044,Liétor,2018,51.6,10.5,32.1,2.1,41.1,1176,99.1
02044,Liétor,2017,50.8,10.8,31.8,2.1,40.3,1200,98.9
02044,Liétor,2016,50.2,11.3,31.6,2.2,38.3,1244,98.9
02044,Liétor,2015,48.9,12.5,30.2,2.2,38.2,1284,98.7
02045,Madrigueras,2022,44.4,17.8,22.6,2.6,26.6,4680,90.8
02045,Madrigueras,2021,44.3,17.8,22.4,2.5,26.5,4638,91.3
02045,Madrigueras,2020,44.2,17.4,21.9,2.6,26.7,4658,91.9
02045,Madrigueras,2019,44.1,17.3,21.9,2.6,26.8,4625,92.4
02045,Madrigueras,2018,43.9,17.3,22,2.6,25.7,4633,92.9
