mun_code,mun_name,year,net_income_pc,net_income_hh,net_income_equiv,median_income_equiv,gross_income_pc,gross_income_hh
02044,Liétor,2021,10196,21411,14270,12250,11346,23827
02044,Liétor,2020,9899,21225,13912,12250,11053,23700
02044,Liétor,2019,9297,19959,13111,11550,10262,22032
02044,Liétor,2018,8936,19045,12529,10850,9874,21043
02044,Liétor,2017,8432,18378,11792,9450,9324,20321
02044,Liétor,2016,7994,17838,11299,9450,8772,19574
02044,Liétor,2015,8048,18169,11479,10150,8906,20106
02045,Madrigueras,2022,11717,30235,17707,15750,13747,35474
02045,Madrigueras,2021,10997,28148,16664,15050,12935,33108
02045,Madrigueras,2020,10540,27013,16042,14350,12383,31739
02045,Madrigueras,2019,10445,26907,15763,14350,12143,31282
02045,Madrigueras,2018,9813,25492,14831,12950,11369,29533
02045,Madrigueras,2017,9407,24442,14202,12950,10862,28223
02045,Madrigueras,2016,9113,23826,13771,12250,10467,27367
02045,Madrigueras,2015,8803,23056,13392,11550,10097,26443
02046,Mahora,2022,10853,26944,16021,14350,12429,30856
02046,Mahora,2021,9985,24849,14771,13650,11362,28276
02046,Mahora,2020,9938,23994,14649,12950,11256,27175
02046,Mahora,2019,9773,23506,14327,12950,11030,26531
02046,Mahora,2018,9315,23063,13807,12250,10498,25992
02046,Mahora,2017,8710,21490,12936,11550,9798,24174
02046,Mahora,2016,8337,20949,12557,10850,9342,23475
02046,Mahora,2015,8171,20442,12099,10850,9140,22867
02047,Masegoso,2022,16502,34254,23539,18550,19961,41434
02047,Masegoso,2021,14845,26626,21451,16450,18974,34033
02047,Masegoso,2020,16789,29310,22111,17850,20129,35141
02047,Masegoso,2019,14711,25681,19610,16450,17264,30139
02047,Masegoso,2018,13508,25385,18640,15050,15544,29212
02047,Masegoso,2017,12737,23776,17581,13650,14571,27200
02047,Masegoso,2016,13238,23787,18395,14350,15221,27350
02047,Masegoso,2015,12423,22399,17322,13300,14235,25665
02048,Minaya,2022,10828,25085,15634,14350,12175,28205
02048,Minaya,2021,10180,23820,14806,13650,11463,26822
02048,Minaya,2020,9690,22933,14116,13650,10824,25617
02048,Minaya,2019,9354,22133,13550,12950,10426,24671
02048,Minaya,2018,8762,20712,12781,12250,9771,23097
02048,Minaya,2017,8362,20066,12208,10850,9393,22539
02048,Minaya,2016,8013,19686,11673,10150,8867,21786
02048,Minaya,2015,8233,19846,12021,10850,9135,22022
02049,Molinicos,2022,11933,21877,16192,14350,13433,24627
02049,Molinicos,2021,11321,21098,15503,13650,12713,23693
02049,Molinicos,2020,10484,19514,14252,12950,11732,21836
02049,Molinicos,2019,10094,19176,13952,12250,11192,21262
02049,Molinicos,2018,9640,18710,13308,11550,10683,20734
02049,Molinicos,2017,9058,17545,12600,11550,9974,19319
02049,Molinicos,2016,8813,17283,12252,10850,9617,18859
02049,Molinicos,2015,8240,16295,11393,10850,8963,17726
02050,Montalvos,2022,NA,NA,NA,NA,NA,NA
02050,Montalvos,2021,12033,23584,NA,NA,13926,27295
02050,Montalvos,2020,11664,23519,NA,NA,13573,27369
02050,Montalvos,2019,NA,NA,NA,NA,NA,NA
02050,Montalvos,2018,NA,NA,NA,NA,NA,NA
02050,Montalvos,2017,NA,NA,NA,NA,NA,NA
02050,Montalvos,2016,12555,27566,18097,15750,15091,33134
02050,Montalvos,2015,13401,29536,19807,14350,16320,35970
02051,Montealegre del Castillo,2022,10692,26003,15694,13650,12141,29527
02051,Montealegre del Castillo,2021,10283,25592,15158,12950,11737,29212
02051,Montealegre del Castillo,2020,9709,23919,14283,12950,10925,26917
02051,Montealegre del Castillo,2019,9484,23697,14050,12250,10682,26692
02051,Montealegre del Castillo,2018,9770,25001,14603,12950,11205,28675
02051,Montealegre del Castillo,2017,8826,22767,13165,11550,10036,25889
02051,Montealegre del Castillo,2016,8513,21666,12671,10850,9674,24621
02051,Montealegre del Castillo,2015,8144,20699,12036,10150,9155,23268
02052,Motilleja,2022,11457,25594,16173,15050,13037,29123
02052,Motilleja,2021,9450,21816,15049,13650,12131,28005
02052,Motilleja,2020,10277,23336,14502,12250,11718,26607
02052,Motilleja,2019,10152,23621,14329,12250,11507,26773
02052,Motilleja,2018,9800,22575,13718,12250,11053,25462
02052,Motilleja,2017,9192,21541,13293,11550,10325,24194
02052,Motilleja,2016,8850,20889,12772,11550,9887,23340
02052,Motilleja,2015,8395,19803,12166,10850,9387,22145
02053,Munera,2022,10049,24938,14894,13650,11317,28086
02053,Munera,2021,9677,24249,14337,12950,10843,27172
02053,Munera,2020,9212,23203,13728,12950,10310,25969
02053,Munera,2019,8918,22701,13362,12250,9926,25266
02053,Munera,2018,8368,21346,12523,11550,9288,23694
02053,Munera,2017,7908,20489,11942,10850,8812,22830
02053,Munera,2016,7454,19369,11224,10150,8228,21381
02053,Munera,2015,7128,18586,10732,9450,7817,20382
02054,Navas de Jorquera,2022,10728,26356,15879,15050,12065,29641
02054,Navas de Jorquera,2021,10519,25997,15734,14350,11830,29237
02054,Navas de Jorquera,2020,10051,24755,15061,13650,11311,27860
02054,Navas de Jorquera,2019,9916,24412,14740,12950,11040,27179
02054,Navas de Jorquera,2018,8756,21413,13328,11550,9800,23966
02054,Navas de Jorquera,2017,8340,21157,12408,11550,9219,23389
02054,Navas de Jorquera,2016,8193,21026,12238,11550,8995,23086
02054,Navas de Jorquera,2015,7904,19797,11760,10850,8620,21593
02055,Nerpio,2022,10595,22887,14971,12950,11906,25719
02055,Nerpio,2021,9240,19917,13269,12250,10278,22156
