mun_code,mun_name,district_code,year,gini,p80p20
02034,Fuentealbilla,0203401,2022,28.9,2.2
02034,Fuentealbilla,0203401,2021,28.1,2.1
02034,Fuentealbilla,0203401,2020,28.7,2.2
02034,Fuentealbilla,0203401,2019,28.7,2.2
02034,Fuentealbilla,0203401,2018,27.2,2
02034,Fuentealbilla,0203401,2017,30.7,2.2
02034,Fuentealbilla,0203401,2016,30,2.4
02034,Fuentealbilla,0203401,2015,31.5,2.5
02035,"Gineta, La",0203501,2022,27.7,2.2
02035,"Gineta, La",0203501,2021,27.4,2.3
02035,"Gineta, La",0203501,2020,27.5,2.3
02035,"Gineta, La",0203501,2019,27.7,2.4
02035,"Gineta, La",0203501,2018,29,2.5
02035,"Gineta, La",0203501,2017,28.4,2.4
02035,"Gineta, La",0203501,2016,29.2,2.5
02035,"Gineta, La",0203501,2015,31,2.5
02036,Golosalvo,0203601,2022,NA,NA
02036,Golosalvo,0203601,2021,NA,NA
02036,Golosalvo,0203601,2020,NA,NA
02036,Golosalvo,0203601,2019,NA,NA
02036,Golosalvo,0203601,2018,29.5,2.8
02036,Golosalvo,0203601,2017,24.4,2
02036,Golosalvo,0203601,2016,27.6,2.5
02036,Golosalvo,0203601,2015,32,2.5
02037,Hellín,0203701,2022,29.6,2.5
02037,Hellín,0203701,2021,29.9,2.4
02037,Hellín,0203701,2020,30,2.6
02037,Hellín,0203701,2019,30.1,2.5
02037,Hellín,0203701,2018,31.1,2.7
02037,Hellín,0203701,2017,31.4,2.5
02037,Hellín,0203701,2016,32.6,2.7
02037,Hellín,0203701,2015,34.5,3
02037,Hellín,0203702,2022,30.1,2.4
02037,Hellín,0203702,2021,31,2.5
02037,Hellín,0203702,2020,31.5,2.6
02037,Hellín,0203702,2019,32,2.6
02037,Hellín,0203702,2018,32.5,2.7
02037,Hellín,0203702,2017,33,2.6
02037,Hellín,0203702,2016,34,2.9
02037,Hellín,0203702,2015,35.6,3.2
02037,Hellín,0203703,2022,28.4,2.4
02037,Hellín,0203703,2021,29.1,2.5
02037,Hellín,0203703,2020,30,2.4
02037,Hellín,0203703,2019,30.4,2.6
02037,Hellín,0203703,2018,31,2.6
02037,Hellín,0203703,2017,31.4,2.5
02037,Hellín,0203703,2016,33.3,2.8
02037,Hellín,0203703,2015,33.8,2.8
02037,Hellín,0203704,2022,30,2.5
02037,Hellín,0203704,2021,30.1,2.5
02037,Hellín,0203704,2020,32,2.9
02037,Hellín,0203704,2019,30.6,3
02037,Hellín,0203704,2018,31.7,3
02037,Hellín,0203704,2017,31,2.8
02037,Hellín,0203704,2016,33.1,2.8
02037,Hellín,0203704,2015,32.7,3.2
02037,Hellín,0203705,2022,26.1,2.1
02037,Hellín,0203705,2021,26.3,2.3
02037,Hellín,0203705,2020,25.9,2.2
02037,Hellín,0203705,2019,26.5,2.2
02037,Hellín,0203705,2018,26.5,2.2
02037,Hellín,0203705,2017,27.4,2.2
02037,Hellín,0203705,2016,28.8,2.3
02037,Hellín,0203705,2015,29.9,2.2
02037,Hellín,0203706,2022,27,2
02037,Hellín,0203706,2021,25.1,2
02037,Hellín,0203706,2020,26.8,2.1
02037,Hellín,0203706,2019,25.2,2
02037,Hellín,0203706,2018,27.3,2.1
02037,Hellín,0203706,2017,26.7,2
02037,Hellín,0203706,2016,30.5,2.2
02037,Hellín,0203706,2015,27.5,2.1
02038,"Herrera, La",0203801,2022,34.1,3.1
02038,"Herrera, La",0203801,2021,34.5,2.7
02038,"Herrera, La",0203801,2020,33.9,2.8
02038,"Herrera, La",0203801,2019,30.5,2.5
02038,"Herrera, La",0203801,2018,30.4,2.5
02038,"Herrera, La",0203801,2017,32.6,2.8
02038,"Herrera, La",0203801,2016,34.8,3.6
02038,"Herrera, La",0203801,2015,32.4,2.5
02039,Higueruela,0203901,2022,29.8,2.7
02039,Higueruela,0203901,2021,29.9,2.6
02039,Higueruela,0203901,2020,30.2,2.7
02039,Higueruela,0203901,2019,28.9,2.4
02039,Higueruela,0203901,2018,28.4,2.5
02039,Higueruela,0203901,2017,30.2,2.7
02039,Higueruela,0203901,2016,28.7,2.6
02039,Higueruela,0203901,2015,29.2,2.5
02040,Hoya-Gonzalo,0204001,2022,27.8,2.6
02040,Hoya-Gonzalo,0204001,2021,28.4,2.4
02040,Hoya-Gonzalo,0204001,2020,27.8,2.3
02040,Hoya-Gonzalo,0204001,2019,28.9,2.3
02040,Hoya-Gonzalo,0204001,2018,26.9,2.3
02040,Hoya-Gonzalo,0204001,2017,28.2,2.5
02040,Hoya-Gonzalo,0204001,2016,27.9,2.6
02040,Hoya-Gonzalo,0204001,2015,30.9,2.4
02041,Jorquera,0204101,2022,29.3,2.5
02041,Jorquera,0204101,2021,30,2.3
02041,Jorquera,0204101,2020,29.6,2.1
02041,Jorquera,0204101,2019,30.3,2.1
02041,Jorquera,0204101,2018,31,2.4
02041,Jorquera,0204101,2017,32.7,2.5
02041,Jorquera,0204101,2016,33.6,2.5
02041,Jorquera,0204101,2015,35.2,2.8
02042,Letur,0204201,2022,31.4,2.7
02042,Letur,0204201,2021,30.8,2.6
02042,Letur,0204201,2020,32.8,2.3
02042,Letur,0204201,2019,30.6,2.2
02042,Letur,0204201,2018,31.2,2.2
02042,Letur,0204201,2017,32.3,2.6
02042,Letur,0204201,2016,32.6,2.5
02042,Letur,0204201,2015,30.9,2.6
02043,Lezuza,0204301,2022,28.2,2.2
02043,Lezuza,0204301,2021,27.7,2.3
02043,Lezuza,0204301,2020,27,2.2
02043,Lezuza,0204301,2019,26.7,2.2
02043,Lezuza,0204301,2018,28.4,2.3
