mun_code,mun_name,year,gini,p80p20
02064,Pozo-Lorente,2015,36.7,2.9
02065,Pozuelo,2022,29.8,2.6
02065,Pozuelo,2021,28.1,2.5
02065,Pozuelo,2020,29.4,2.8
02065,Pozuelo,2019,29.9,2.6
02065,Pozuelo,2018,29.7,2.7
02065,Pozuelo,2017,30.9,2.6
02065,Pozuelo,2016,31.3,2.6
02065,Pozuelo,2015,32.9,2.9
02066,"Recueja, La",2022,27.9,2.4
02066,"Recueja, La",2021,27.3,2.2
02066,"Recueja, La",2020,25.1,2
02066,"Recueja, La",2019,24.6,2
02066,"Recueja, La",2018,25.2,2
02066,"Recueja, La",2017,26.3,1.9
02066,"Recueja, La",2016,27.3,1.9
02066,"Recueja, La",2015,29.1,1.9
02067,Riópar,2022,29.4,2.4
02067,Riópar,2021,29.9,2.4
02067,Riópar,2020,28.1,2.2
02067,Riópar,2019,28.2,2.2
02067,Riópar,2018,27.7,2.3
02067,Riópar,2017,28.8,2.5
02067,Riópar,2016,30,2.5
02067,Riópar,2015,30.7,2.5
02068,Robledo,2022,26.7,2.2
02068,Robledo,2021,27.8,2.2
02068,Robledo,2020,25.1,2.1
02068,Robledo,2019,25,2.3
02068,Robledo,2018,26.6,2.2
02068,Robledo,2017,29.6,2.2
02068,Robledo,2016,31,2.5
02068,Robledo,2015,30.9,2.4
02069,"Roda, La",2022,29,2.4
02069,"Roda, La",2021,29.8,2.4
02069,"Roda, La",2020,30,2.6
02069,"Roda, La",2019,30.1,2.5
02069,"Roda, La",2018,31,2.6
02069,"Roda, La",2017,31.4,2.5
02069,"Roda, La",2016,32.2,2.7
02069,"Roda, La",2015,32.6,2.6
02070,Salobre,2022,28,2.4
02070,Salobre,2021,27,2.2
02070,Salobre,2020,28.2,2.3
02070,Salobre,2019,25.8,2.2
02070,Salobre,2018,26.9,2.3
02070,Salobre,2017,26.4,2.1
02070,Salobre,2016,28.4,2.1
02070,Salobre,2015,28.8,2.1
02071,San Pedro,2022,29.8,2.4
02071,San Pedro,2021,28.1,2.3
02071,San Pedro,2020,27.5,2.2
02071,San Pedro,2019,28.6,2.1
02071,San Pedro,2018,28.1,2.2
02071,San Pedro,2017,27.6,2.1
02071,San Pedro,2016,29.1,2.2
02071,San Pedro,2015,30.4,2.1
02072,Socovos,2022,29,2.4
02072,Socovos,2021,29.4,2.6
02072,Socovos,2020,28.1,2.3
02072,Socovos,2019,29.6,2.1
02072,Socovos,2018,30.3,2.5
02072,Socovos,2017,31.2,2.4
02072,Socovos,2016,32.2,2.6
02072,Socovos,2015,32.4,2.6
02073,Tarazona de la Mancha,2022,29,2.4
02073,Tarazona de la Mancha,2021,29.6,2.4
02073,Tarazona de la Mancha,2020,30.3,2.5
02073,Tarazona de la Mancha,2019,30,2.3
02073,Tarazona de la Mancha,2018,30.6,2.3
02073,Tarazona de la Mancha,2017,31.1,2.4
02073,Tarazona de la Mancha,2016,32.2,2.5
02073,Tarazona de la Mancha,2015,32.7,2.7
02074,Tobarra,2022,29.7,2.4
02074,Tobarra,2021,29.7,2.4
02074,Tobarra,2020,29.6,2.3
02074,Tobarra,2019,29.5,2.4
02074,Tobarra,2018,29.8,2.6
02074,Tobarra,2017,30.3,2.5
02074,Tobarra,2016,31.5,2.6
02074,Tobarra,2015,31.3,2.6
02075,Valdeganga,2022,29,2.5
02075,Valdeganga,2021,28.3,2.4
02075,Valdeganga,2020,27.4,2.3
02075,Valdeganga,2019,28.6,2.4
02075,Valdeganga,2018,29,2.6
02075,Valdeganga,2017,29.8,2.2
02075,Valdeganga,2016,29.5,2.4
02075,Valdeganga,2015,30.9,2.3
02076,Vianos,2022,29.2,2.4
02076,Vianos,2021,33.2,2.7
02076,Vianos,2020,31.4,2.6
02076,Vianos,2019,29.7,2.6
02076,Vianos,2018,28.6,2.4
02076,Vianos,2017,31.1,2.4
02076,Vianos,2016,32.1,2.6
02076,Vianos,2015,34.3,2.6
02077,Villa de Ves,2022,NA,NA
02077,Villa de Ves,2021,NA,NA
02077,Villa de Ves,2020,NA,NA
02077,Villa de Ves,2019,NA,NA
02077,Villa de Ves,2018,NA,NA
02077,Villa de Ves,2017,NA,NA
02077,Villa de Ves,2016,NA,NA
02077,Villa de Ves,2015,NA,NA
02078,Villalgordo del Júcar,2022,27.4,2.3
02078,Villalgordo del Júcar,2021,26.1,2.2
02078,Villalgordo del Júcar,2020,24.7,2.1
02078,Villalgordo del Júcar,2019,25.1,2.2
02078,Villalgordo del Júcar,2018,25.4,2.2
02078,Villalgordo del Júcar,2017,24.8,2
02078,Villalgordo del Júcar,2016,26.5,2
02078,Villalgordo del Júcar,2015,25.6,2
02079,Villamalea,2022,26.9,2.2
02079,Villamalea,2021,26.4,2
02079,Villamalea,2020,27.1,2.1
02079,Villamalea,2019,26.8,2.1
02079,Villamalea,2018,28.3,2.1
02079,Villamalea,2017,29.1,2.2
02079,Villamalea,2016,29,2.4
02079,Villamalea,2015,29.6,2.3
02080,Villapalacios,2022,30.6,2.7
02080,Villapalacios,2021,30.5,2.6
02080,Villapalacios,2020,31.5,2.7
02080,Villapalacios,2019,30.2,2.4
02080,Villapalacios,2018,32.8,2.6
02080,Villapalacios,2017,31.9,2.7
02080,Villapalacios,2016,33.5,3
02080,Villapalacios,2015,35.5,2.9
02081,Villarrobledo,2022,27.5,2.2
02081,Villarrobledo,2021,27,2.3
02081,Villarrobledo,2020,28,2.4
02081,Villarrobledo,2019,27.6,2.4
02081,Villarrobledo,2018,28.3,2.4
02081,Villarrobledo,2017,29,2.3
02081,Villarrobledo,2016,30.2,2.4
02081,Villarrobledo,2015,30.4,2.6
02082,Villatoya,2022,35.4,3.2
02082,Villatoya,2021,33.3,3.1
02082,Villatoya,2020,33.5,2.7
02082,Villatoya,2019,32.1,2.8
02082,Villatoya,2018,36.5,3.5
