mun_code,mun_name,district_code,year,net_income_pc,net_income_hh,net_income_equiv,median_income_equiv,gross_income_pc,gross_income_hh
02026,Cenizate,0202601,2016,6471,18701,10020,8750,7073,20441
02026,Cenizate,0202601,2015,6400,18166,9776,8750,6986,19829
02027,Corral-Rubio,0202701,2022,12623,29004,17917,15050,14522,33367
02027,Corral-Rubio,0202701,2021,11785,26101,16779,15050,13385,29646
02027,Corral-Rubio,0202701,2020,11059,24801,15846,13650,12646,28360
02027,Corral-Rubio,0202701,2019,10946,24849,15831,13650,12505,28387
02027,Corral-Rubio,0202701,2018,10492,24281,15080,12950,12035,27853
02027,Corral-Rubio,0202701,2017,9995,23729,14475,12250,11398,27060
02027,Corral-Rubio,0202701,2016,10028,24600,14589,12250,11439,28062
02027,Corral-Rubio,0202701,2015,9645,23546,14053,11550,10934,26694
02028,Cotillas,0202801,2022,10900,20063,14400,12250,12077,22228
02028,Cotillas,0202801,2021,10430,19071,13661,11550,11631,21269
02028,Cotillas,0202801,2020,9726,18308,12770,11550,10707,20155
02028,Cotillas,0202801,2019,9825,17534,12798,10850,10908,19467
02028,Cotillas,0202801,2018,8746,15665,11317,10150,9513,17039
02028,Cotillas,0202801,2017,8485,17106,11489,10150,9203,18552
02028,Cotillas,0202801,2016,8231,16588,10997,9450,8870,17875
02028,Cotillas,0202801,2015,8023,15606,10475,9450,8611,16750
02029,Chinchilla de Monte-Aragón,0202901,2022,12042,29923,18108,17150,14184,35245
02029,Chinchilla de Monte-Aragón,0202901,2021,11579,29038,17444,16450,13581,34056
02029,Chinchilla de Monte-Aragón,0202901,2020,10892,27550,16432,15750,12713,32158
02029,Chinchilla de Monte-Aragón,0202901,2019,10567,26797,15876,15050,12254,31075
02029,Chinchilla de Monte-Aragón,0202901,2018,10061,25762,15207,14350,11608,29724
02029,Chinchilla de Monte-Aragón,0202901,2017,9528,24490,14361,13650,11043,28384
02029,Chinchilla de Monte-Aragón,0202901,2016,9199,23868,13910,12950,10543,27355
02029,Chinchilla de Monte-Aragón,0202901,2015,8932,23406,13584,12250,10235,26821
02029,Chinchilla de Monte-Aragón,0202902,2022,12438,29306,18089,15750,14762,34781
02029,Chinchilla de Monte-Aragón,0202902,2021,12292,28759,17779,15750,14449,33807
02029,Chinchilla de Monte-Aragón,0202902,2020,11304,26358,16458,14350,13212,30807
02029,Chinchilla de Monte-Aragón,0202902,2019,10988,26133,16192,14350,12940,30774
02029,Chinchilla de Monte-Aragón,0202902,2018,10390,25114,15272,13650,12065,29164
02029,Chinchilla de Monte-Aragón,0202902,2017,10153,24593,14842,12950,11754,28473
02029,Chinchilla de Monte-Aragón,0202902,2016,9790,24209,14341,12250,11228,27765
02029,Chinchilla de Monte-Aragón,0202902,2015,9096,22893,13566,11550,10395,26163
02030,Elche de la Sierra,0203001,2022,10531,24447,15432,13650,11849,27507
02030,Elche de la Sierra,0203001,2021,9499,22403,13992,12250,10641,25097
02030,Elche de la Sierra,0203001,2020,9169,21773,13618,12250,10263,24369
02030,Elche de la Sierra,0203001,2019,9097,21960,13407,12250,10213,24655
02030,Elche de la Sierra,0203001,2018,8394,20287,12489,10850,9377,22661
02030,Elche de la Sierra,0203001,2017,8110,19803,12091,10850,9033,22057
02030,Elche de la Sierra,0203001,2016,7762,19182,11503,10150,8622,21307
02030,Elche de la Sierra,0203001,2015,7559,18854,11199,9450,8375,20888
02030,Elche de la Sierra,0203002,2022,11320,26135,16352,15050,12982,29972
02030,Elche de la Sierra,0203002,2021,10612,24516,15439,13650,12123,28005
02030,Elche de la Sierra,0203002,2020,10192,23988,14827,12950,11652,27422
02030,Elche de la Sierra,0203002,2019,9753,23089,14238,12950,11092,26259
02030,Elche de la Sierra,0203002,2018,9074,21689,13361,11550,10300,24621
02030,Elche de la Sierra,0203002,2017,8673,21528,12911,11550,9813,24358
02030,Elche de la Sierra,0203002,2016,8358,20920,12422,10850,9426,23592
02030,Elche de la Sierra,0203002,2015,8152,20544,12177,10850,9198,23180
02031,Férez,0203101,2022,11015,22103,15511,13650,12331,24744
02031,Férez,0203101,2021,10314,21451,14527,12250,11611,24149
02031,Férez,0203101,2020,9592,20659,13583,11550,10697,23039
02031,Férez,0203101,2019,9419,20946,13490,11550,10500,23349
02031,Férez,0203101,2018,9300,21362,13466,11550,10312,23688
02031,Férez,0203101,2017,8289,19478,12107,10850,9105,21394
02031,Férez,0203101,2016,8049,19074,11614,10850,8772,20786
02031,Férez,0203101,2015,7529,18287,10884,10150,8160,19821
02032,Fuensanta,0203201,2022,11990,22657,16718,14350,13864,26197
02032,Fuensanta,0203201,2021,11554,22080,15740,13650,13317,25449
02032,Fuensanta,0203201,2020,10834,20121,14666,13650,12231,22714
02032,Fuensanta,0203201,2019,10309,19107,13946,12950,11697,21681
02032,Fuensanta,0203201,2018,10128,19172,13739,12250,11377,21537
02032,Fuensanta,0203201,2017,9353,18332,12764,11550,10443,20469
02032,Fuensanta,0203201,2016,8968,18167,12303,10850,9997,20250
02032,Fuensanta,0203201,2015,8558,17226,11937,11550,9461,19043
